app_id,size_bytes,price(in USD),rating_count_tot,user_rating,cont_rating,prime_genre
74,162891776,0,232940,4,1,Finance
75,98108416,0,48407,3,3,News
76,54088704,0.99,5531,3.5,1,Utilities
77,50155520,1.99,3393,4,1,Education
78,23936000,0,65016,3.5,1,Utilities
79,145293312,0.99,187529,4,2,Entertainment
80,140367872,0,33969,3.5,1,Health & Fitness
81,281244672,0,48822,3.5,1,Finance
82,66695168,1.99,59155,4.5,1,Games
83,169747456,0,252076,3.5,1,Book
84,41691136,1.99,4913,4,2,Games
85,122886144,0,1744,3.5,1,Finance
86,55803904,0.99,16567,4.5,1,Games
87,188956672,0,187315,2,4,Games
88,22185984,2.99,4781,4.5,1,Music
89,66160640,3.99,94,4.5,1,Games
90,28135424,0.99,29554,4,1,Photo & Video
91,27962441,0.99,32988,4,3,Games
92,133238784,0,373519,3.5,1,Social Networking
93,151573504,0,334293,4,4,Social Networking
94,27069440,1.99,2302,3.5,1,Photo & Video
95,101259264,0,60659,3,4,Social Networking
96,168192000,2.99,2562,4,1,Games
97,17485824,4.99,3042,3.5,1,Finance
98,5234688,0.99,338,2.5,1,Weather
99,237913088,2.99,16434,4.5,1,Health & Fitness
100,233513984,2.99,10046,4.5,1,Health & Fitness
101,110420992,0,29107,3,3,News
102,47774720,1.99,878,4,4,Games
103,22259712,0.99,1140,3.5,1,Games
104,431771648,2.99,35074,4.5,1,Games
105,120357888,0,59639,3,4,Sports
106,90828800,4.99,2913,4,1,Health & Fitness
107,30796800,0,39722,3,1,Photo & Video
108,151397376,0,81006,3.5,1,Entertainment
109,46880768,0,53465,3.5,1,Games
110,48741376,0.99,395261,4.5,1,Games
111,17145856,1.99,2021,4.5,1,Utilities
112,25808896,0,182,3,4,Entertainment
113,81924096,0,291787,4,1,Entertainment
114,19451904,1.99,2441,4,4,Utilities
115,118683648,0.99,1372,4,3,Games
116,723764224,249.99,773,4,1,Education
117,111275008,0,200047,4,1,Reference
118,109616128,0,112,3.5,3,News
119,120725504,0,148160,4.5,1,Sports
120,68491264,0,108507,3,1,Utilities
121,122153984,0,46,3,1,Entertainment
122,122315776,0,51427,4,1,Photo & Video
123,17010688,0.99,53821,3.5,3,Games
124,3691520,0,38681,4,1,Business
125,31387648,0.99,17776,4,1,Games
126,135044096,0,287589,4.5,1,Social Networking
127,55815168,2.99,7308,4,1,Productivity
128,132632576,0,342969,4.5,1,Lifestyle
129,270729216,4.99,6093,4,1,Games
130,39827456,4.99,5452,4.5,2,Games
131,57328640,0,43064,3,1,Finance
132,40717312,0,64,4.5,1,Music
133,141136896,0,220,4.5,1,Productivity
134,146228224,0,114096,4.5,1,Games
135,52294656,9.99,1296,4,1,Productivity
136,16332800,2.99,1293,4,1,Travel
137,164382720,0,19946,4,1,Finance
138,45712384,0,88613,4,1,Entertainment
139,16086016,0.99,107727,3.5,1,Games
140,223805440,0.99,21416,4.5,1,Games
141,22159360,2.99,533,4,1,Games
142,20542280,2.99,32650,3.5,3,Music
143,130637824,0,164963,3.5,1,Social Networking
144,8900608,1.99,141,3,1,Weather
145,180500480,0,80424,4,1,Shopping
146,19853312,0.99,17190,4,1,Games
147,42926080,0.99,7973,4,1,Games
148,36692992,2.99,19621,4,1,Games
149,36647936,3.99,7315,4,1,Games
150,91697152,0,118,3,3,News
151,51538944,0,290996,3.5,1,Sports
152,8302592,3.99,2785,4,1,Travel
153,430128128,6.99,54408,3.5,3,Games
154,69960704,9.99,8138,4,1,Games
155,767126,0,123190,3,1,Education
156,12996628,0.99,23810,3.5,3,Games
157,139545600,0,54192,4,1,Sports
158,130394112,0,20953,4,1,Sports
159,101925888,9.99,71609,4.5,3,Music
160,52951040,0,32881,3.5,3,News
161,80409600,0,23201,2.5,4,Social Networking
162,137312256,0,17906,3,1,Shopping
163,144412672,74.99,927,3.5,1,Navigation
164,27746273,1.99,18920,3.5,2,Games
165,119648256,0.99,30,3,1,Finance
166,119574528,0,77,3,1,Finance
167,79315968,0,104539,4.5,1,Health & Fitness
168,12818432,0.99,4016,4,3,Photo & Video
169,18165760,1.99,299,4,1,Food & Drink
170,253834240,1.99,5758,4,3,Games
171,69083136,0,5565,4.5,2,Games
172,8573952,0.99,213092,3.5,2,Games
173,127284224,0,150158,4.5,1,Weather
174,81374398,4.99,6046,4,3,Games
175,94139392,0,345046,4.5,1,Navigation
176,13216994,0.99,35930,3.5,3,Games
177,21010210,0.99,22557,4,1,Games
178,35998720,0.99,292,3,4,Sports
179,132510720,0,878563,4.5,3,Music
180,37001216,0,22,3.5,1,Food & Drink
181,64147456,0,10472,3.5,4,Sports
182,100779008,0,115,4,4,News
183,123718656,1.99,13915,4.5,1,Weather
184,126312448,1.99,6780,4,2,Games
185,79882240,7.99,1701,4,1,Productivity
186,6418432,1.99,6,3.5,1,Health & Fitness
187,74093568,0,19,3,1,Utilities
188,12937216,4.99,3483,4.5,1,Medical
189,53388288,0,2838,3,1,Photo & Video
190,118498304,0,117889,3,1,Entertainment
191,103197675,0.99,50710,3.5,2,Games
192,24574976,2.99,3960,4.5,1,Weather
193,96093184,0,24258,3,1,Entertainment
194,77700096,0,37522,4,1,Sports
195,180804608,0,49578,3.5,1,Productivity
196,56397824,0.99,626,4,1,Entertainment
197,229272576,1.99,9286,4,1,Games
198,131000320,0,190670,3.5,4,Sports
199,53097472,19.99,2429,4.5,1,Navigation
200,3375104,3.99,0,0,1,Finance
201,108166144,0,12811,3.5,1,Navigation
202,89187328,1.99,32338,4,1,Photo & Video
203,13647872,4.99,262,4,3,Games
204,123544576,0.99,9657,4.5,1,Games
205,1608704,2.99,18332,4.5,1,Games
206,50169856,0,53620,4,3,Health & Fitness
207,101181440,0.99,38533,2.5,1,Photo & Video
208,15329280,0.99,40,3.5,1,Food & Drink
209,31845376,1.99,472,4,1,Games
210,135032832,0,303856,4.5,1,Food & Drink
211,54648832,0,2070,2.5,1,Sports
212,8432232,2.99,7941,4,1,Games
213,230720512,0,136833,3.5,3,Health & Fitness
214,80211968,0,112886,3.5,3,News
215,148201472,0,26353,3.5,1,Shopping
216,20795392,0,171055,3,3,Entertainment
217,27934720,2.99,4540,4,2,Games
218,208309248,0,1926,3,1,Lifestyle
219,33812480,3.99,14345,4,3,News
220,20298752,4.99,1340,4.5,1,Lifestyle
221,101346304,3.99,31912,4.5,1,Business
222,210569216,0,354058,3.5,4,News
223,110198784,0,248,4,1,Travel
224,78047232,0,11691,3.5,3,News
225,9946112,1.99,381,3,3,Entertainment
226,44652544,0,18884,4,2,Entertainment
227,30369792,2.99,7410,4,2,Reference
228,376171520,1.99,15175,4,1,Games
229,96815104,0.99,3166,4,1,Business
230,169138176,0,88885,4.5,3,Shopping
231,364490752,9.99,882,5,3,Games
232,44135424,3.99,1729,4,4,Lifestyle
233,112074752,0,43682,3.5,1,Sports
234,98942976,0.99,861,2,1,Entertainment
235,77686784,0,7469,3.5,3,Health & Fitness
236,94496768,0,4186,3.5,1,Shopping
237,204959744,0,4885,3.5,3,Entertainment
238,32796672,4.99,3970,4,4,Games
239,105009152,0,135744,4,1,Music
240,22562816,0,18841,4,1,Social Networking
241,52632576,3.99,1438,4,1,Navigation
242,151388160,0,10298,4.5,1,Health & Fitness
243,47323136,0.99,1842,3.5,1,Productivity
244,59846656,1.99,2548,4,1,Education
245,27807744,0.99,319,3,3,Games
246,60976128,0,34507,3.5,3,Shopping
247,194386944,0.99,26482,3.5,1,Games
248,49470464,0,273,3,3,News
249,147118080,2.99,8331,4,3,Music
250,125411328,0.99,17023,4,1,Games
251,63316992,4.99,1101,4,1,Games
252,15313920,0.99,1193,4,4,Games
253,69816320,0,35,2.5,4,Sports
254,32848910,1.99,4088,4,1,Games
255,52821364,4.99,63943,4,4,Games
256,146507776,0,70286,3,1,Shopping
257,24747008,0,1150,2.5,1,Business
258,89517056,0,54630,2.5,1,Shopping
259,40722432,0,98777,3,1,Entertainment
260,73332736,0.99,649,4,1,Photo & Video
261,83906560,0,60236,3,3,Entertainment
262,76644352,0,115,3.5,1,Food & Drink
263,37340259,0.99,26732,4,4,Games
264,26137600,1.99,2722,4.5,1,Shopping
265,107816960,0,11013,3.5,1,Shopping
266,152700928,0,507706,4.5,1,Health & Fitness
267,112024576,0,397,4.5,1,Travel
268,35864576,9.99,196,4,1,Productivity
269,49594368,3.99,24553,4,2,News
270,114081792,2.99,12557,3.5,1,Photo & Video
271,91267072,0,26227,4,2,Music
272,8821760,4.99,28388,5,1,Business
273,69513216,2.99,282,4,1,Health & Fitness
274,7767040,0.99,19296,4,1,Games
275,88702976,0,183425,4.5,3,Entertainment
276,175966208,0,824451,4.5,1,Games
277,84791296,0,512,3.5,1,Travel
278,27997184,2.99,315,3.5,1,Lifestyle
279,131463168,0,268,3.5,1,Travel
280,5415000,1.99,438,4.5,1,Games
281,126867456,0,187,3.5,1,Navigation
282,878883840,4.99,15142,4,4,Games
283,88773632,0,30552,3,1,Travel
284,812758016,2.99,9744,3.5,3,Games
285,28616704,0,13482,4.5,1,Education
286,7111680,0,17516,3.5,1,Finance
287,34056767,0,186653,3.5,1,Games
288,21450752,0.99,10031,4,1,Entertainment
289,97879040,0,81,3,1,Entertainment
290,22299021,0.99,9854,4,1,Games
291,10231808,2.99,1093,4,2,Travel
292,132480000,2.99,4475,4.5,1,Health & Fitness
293,47182848,2.99,9405,4,1,Games
294,100048896,1.99,2417,4.5,1,Health & Fitness
295,174839808,0.99,2923,4.5,1,Business
296,13725696,2.99,8657,3.5,2,Entertainment
297,11369472,0.99,70,2,1,Photo & Video
298,155857920,0,162,4,4,News
299,38718464,0.99,5,4,1,Lifestyle
300,17879270,0.99,12354,4,3,Games
301,96635904,0,269,3,3,Social Networking
302,8039424,3.99,0,0,2,Book
303,105379840,0.99,426463,5,2,Games
304,199585792,0,7265,3.5,4,Social Networking
305,244516864,0,844,4,4,Lifestyle
306,123450368,0,101,4,3,Entertainment
307,157625344,0,34428,4.5,4,Social Networking
308,75612160,1.99,36946,4.5,1,Games
309,68153344,0,21090,4.5,1,Finance
310,84469760,2.99,653,4.5,3,Games
311,100368384,3.99,1118,4.5,1,Education
312,7344128,1.99,348,4,1,Productivity
313,25097281,1.99,207,3.5,2,Utilities
314,43439104,0,5000,4.5,3,Health & Fitness
315,83851264,3.99,15188,4.5,3,Health & Fitness
316,118980608,0,18572,4.5,3,News
317,76394496,4.99,6403,4.5,1,Games
318,127382528,0,417779,4.5,3,Shopping
319,48819200,4.99,9,5,3,Education
320,30977024,0.99,107,2.5,1,Entertainment
321,8073209,1.99,72,2,1,Lifestyle
322,15676416,2.99,2044,3.5,2,Games
323,81876992,0,16683,3.5,1,Sports
324,48700821,0.99,1455,3,3,Games
325,581353472,4.99,15056,4,4,Games
326,9906176,0.99,249,4.5,1,Photo & Video
327,114843648,7.99,6091,4,2,Games
328,199450624,7.99,2754,4,2,Games
329,529755136,4.99,9870,4.5,3,Games
330,70516736,0,82602,4,2,Music
331,147066880,7.99,0,0,1,Travel
332,90241024,1.99,762,4,1,Education
333,174268416,1.99,160,4,1,Education
334,187040768,0,9,3,4,Shopping
335,151864320,0,260965,4,3,Social Networking
336,4466688,1.99,2305,4,1,Photo & Video
337,35478528,4.99,137,4,1,Travel
338,31869952,0,11999,4,1,Entertainment
339,21771264,1.99,1995,4.5,3,Photo & Video
340,103049216,2.99,35045,4.5,1,Music
341,40586240,0.99,343,4,1,Entertainment
342,220397568,1.99,1824,4,1,Entertainment
343,69057536,0,39642,4,1,Sports
344,101943296,0,679055,4.5,1,Games
345,122235904,9.99,17594,4,1,Productivity
346,151954432,1.99,3531,4,1,Games
347,138047488,3.99,1080,3.5,1,Education
348,105982976,0,11421,4,1,Finance
349,104590336,1.99,698516,4.5,1,Games
350,32051200,3.99,4497,4,3,Entertainment
351,225859584,0.99,163598,5,2,Games
352,229992448,9.99,39678,3.5,1,Games
353,32604160,8.99,1809,4.5,1,Productivity
354,22948864,4.99,624,3.5,1,Navigation
355,35422208,2.99,3761,4.5,1,Photo & Video
356,32083968,3.99,353,4,3,Weather
357,150221824,4.99,6503,4.5,1,Education
358,30270464,0.99,71,3,1,Games
359,125016064,0,308844,3.5,1,Entertainment
360,35717120,9.99,3909,4.5,1,Music
361,31955968,2.99,308,4.5,3,Utilities
362,44099584,9.99,11156,4.5,1,Productivity
363,34310144,4.99,8542,4.5,1,Photo & Video
364,35602607,4.99,5853,3.5,4,Games
365,234123264,1.99,1506,4,2,Games
366,133874688,0,1649,3.5,1,Social Networking
367,85724160,0,78890,3,3,Entertainment
368,219693056,3.99,2147,4,2,Games
369,176164864,0,89110,4.5,1,Games
370,59101184,0,208648,4,1,Weather
371,10907191,1.99,856,2.5,3,Entertainment
372,4177920,3.99,7825,4.5,1,Productivity
373,62978048,9.99,7033,4,1,Business
374,66138112,1.99,4255,4,1,Reference
375,68073472,5.99,3230,4.5,1,Utilities
376,165748736,0,54175,4.5,1,Reference
377,33857536,4.99,308,4,1,Education
378,22763520,0.99,2602,3,2,Games
379,107259904,0,29110,4.5,4,Productivity
380,73224192,1.99,273,3.5,1,Reference
381,45182976,0,15654,4.5,1,Photo & Video
382,16292864,0,189,2.5,3,Entertainment
383,24851456,0.99,829,4.5,1,Navigation
384,58463232,8.99,663,5,1,Photo & Video
385,71002112,0,359832,4.5,1,Games
386,112609280,0,9011,3.5,1,Entertainment
387,149536768,4.99,17667,4.5,1,Health & Fitness
388,39844864,0,65450,4,1,Book
389,105609216,0,31261,4.5,1,Travel
390,14160896,0.99,9885,4,1,Games
391,112515072,0,11091,3,1,Entertainment
392,64705536,0,132703,4,1,News
393,37161984,4.99,286,2.5,1,Travel
394,54776832,0,12683,4,3,Utilities
395,283852800,0,49466,3,1,Travel
396,101923840,0,168,4,1,Productivity
397,40479744,6.99,114,4,4,Book
398,10612736,2.99,2798,4.5,1,Weather
399,94592000,0,62,3.5,1,Entertainment
400,33213440,9.99,1756,4,1,Business
401,37140480,3.99,511,4.5,1,Health & Fitness
402,144180224,0.99,2609,3.5,4,Games
403,7689537,0,354,1.5,1,Social Networking
404,119812096,0,1750,3.5,4,Utilities
405,25137152,1.99,1121,4.5,2,Games
406,65074176,0,339,4.5,1,Sports
407,34950144,0,34322,4.5,1,Finance
408,19054592,1.99,162,4.5,1,Productivity
409,83575808,0,8,3,1,Utilities
410,14602240,2.99,4386,4.5,1,Education
411,61595648,4.99,5397,5,1,Games
412,134848512,0,75412,4.5,4,Social Networking
413,133956608,0,97072,4,4,Social Networking
414,17613824,0,9142,3.5,3,Health & Fitness
415,35975168,1.99,1957,4.5,1,Games
416,127020032,4.99,2944,4,4,Entertainment
417,27962368,1.99,588,4,1,Photo & Video
418,14824448,1.99,40552,4.5,1,Games
419,83899392,0.99,1267,4.5,1,Finance
420,19371008,24.99,753,4,1,Education
421,59475968,2.99,725,4,1,Weather
422,80203776,3.99,45,4.5,3,Education
423,227403527,0.99,14910,4,3,Games
424,75254654,2.99,3064,3.5,2,Games
425,23879680,0,12074,2.5,4,News
426,4893696,4.99,336,4,1,Productivity
427,109620224,9.99,6257,4,1,Productivity
428,18752512,1.99,2445,4.5,1,Photo & Video
429,52117504,0.99,22150,4,2,Games
430,31358976,0,23530,4,4,Social Networking
431,359192576,9.99,10846,4.5,1,Games
432,70782976,0,55171,3.5,1,Shopping
433,84056064,0,5782,3.5,3,Education
434,124090368,0,24,3.5,1,Weather
435,137866240,0,17,3.5,1,Finance
436,121715712,1.99,35759,4.5,3,Games
437,304654336,2.99,18306,4,3,Games
438,51179520,0,13567,2,1,Education
439,60380160,1.99,240,3,1,Sports
440,99568640,0,56170,2,3,Entertainment
441,61272064,3.99,19,4.5,1,Education
442,41207059,0,0,0,1,Navigation
443,7954432,1.99,10463,4.5,1,Photo & Video
444,7876608,0,1255,4.5,3,Lifestyle
445,99558400,0.99,5803,4,1,Games
446,16857290,1.99,227,4,2,Games
447,111196160,9.99,342,3.5,1,Navigation
448,36705280,2.99,7578,4.5,1,Photo & Video
449,79312792,6.99,1156,3.5,1,Games
450,127939584,0,7197,3.5,1,Education
451,44349440,2.99,5,3,1,Entertainment
452,1178477568,0.99,3432,3,1,Games
453,24444928,3.99,0,0,1,Education
454,41772032,4.99,24306,4.5,1,Games
455,144488448,0,312,3.5,4,Travel
456,81558528,0,105274,4.5,1,Book
457,169009152,2.99,25475,4.5,1,Utilities
458,62373888,0.99,8718,4,1,Games
459,75417600,0,29492,3.5,1,Entertainment
460,175157248,4.99,12787,4.5,1,Entertainment
461,28118016,4.99,2237,4,4,Utilities
462,15759360,0.99,108,4,1,Utilities
463,109270016,0,25403,4.5,3,Music
464,59411456,0,210,3.5,1,Lifestyle
465,138755072,0,169,4,1,Shopping
466,81845248,1.99,7447,4.5,1,Productivity
467,132377600,2.99,12833,4.5,1,Education
468,42027008,0,130450,5,1,Utilities
469,191410176,4.99,6,4,1,Games
470,81773568,0,1111,1.5,1,Lifestyle
471,113814528,0,3194,4.5,3,Sports
472,27815936,1.99,1399,2.5,1,Business
473,44402688,3.99,10,4.5,4,Health & Fitness
474,226406400,0,1990,4.5,4,Utilities
475,113119232,0,8149,4,1,Shopping
476,55986176,4.99,29376,4.5,1,Business
477,63022080,0,74,4.5,1,Shopping
478,129657856,0,164249,4.5,1,Social Networking
479,33989632,2.99,14605,4.5,1,Games
480,74822656,0,130823,4.5,1,Shopping
481,3462144,0.99,486,4.5,1,Entertainment
482,3462266,0.99,8946,4.5,1,Music
483,51794944,0.99,1993,4,1,Games
484,154507264,0,43877,4.5,1,Social Networking
485,72586240,0.99,2377,4.5,1,Photo & Video
486,184689664,0,1590,4.5,4,Entertainment
487,19534848,0.99,2070,4,1,Games
488,65892352,0,9,4,1,Lifestyle
489,108836864,3.99,11530,4.5,1,Reference
490,89219072,0,194,4,4,Lifestyle
491,83138560,0,200,3.5,1,Business
492,104387584,0,16772,4.5,1,Social Networking
493,77139968,0.99,9,4,1,Games
494,28566528,0.99,2113,3.5,1,Games
495,7990272,0,794,4,3,News
496,122979328,0,8939,4,1,Lifestyle
497,32918528,0,308,3.5,4,Utilities
498,4034560,0,5,2,1,Education
499,624107810,0.99,326482,5,3,Games
500,309673984,0,3801,4,1,Shopping
501,123541504,0,209,3.5,1,Games
502,27619328,0.99,33868,4.5,1,Games
503,30441472,0.99,13741,3.5,2,Entertainment
504,100551680,0,18418,4.5,1,Reference
505,209295360,4.99,21,1.5,1,Health & Fitness
506,270729216,4.99,1588,3.5,1,Games
507,140803072,0,8094,3,1,Travel
508,17235968,0,1652,3,1,Utilities
509,98450432,0.99,5482,4.5,1,Productivity
510,685733888,13.99,611,4.5,3,Medical
511,64041984,0,26697,4.5,1,Utilities
512,106115072,0,317,4,4,Lifestyle
513,444821504,4.99,14202,3.5,3,Games
514,106445824,0,2064,2.5,1,Education
515,72941568,0,746,4.5,1,Utilities
516,30711808,0.99,0,0,3,Entertainment
517,59248640,0,52642,3.5,4,Social Networking
518,131428352,0,27317,2.5,1,Sports
519,40472576,4.99,76,4,1,Education
520,113954816,0,2161558,4.5,3,Photo & Video
521,32130048,4.99,2554,4.5,1,Productivity
522,35359744,0.99,1058,3.5,1,Games
523,812010496,1.99,10382,4,1,Games
524,3700705,0.99,1428,3.5,1,Games
525,92392448,0,3134,2.5,1,Entertainment
526,64325632,0,596,2.5,1,Entertainment
527,511094784,4.99,4378,4.5,2,Games
528,25960448,4.99,280,4,1,Navigation
529,58826752,4.99,1045,4,1,Entertainment
530,25309184,0,1110,4.5,4,Utilities
531,39446528,4.99,11154,4.5,1,Games
532,24419328,0,0,0,1,Medical
533,209245184,0,258,2,4,Finance
534,106458112,0.99,44567,4.5,1,Games
535,116247552,0,3818,2.5,1,Sports
536,117406720,9.99,7562,4.5,1,Productivity
537,36942848,2.99,120,4.5,1,Book
538,56954817,4.99,206,3,1,Games
539,10432512,4.99,1755,4.5,4,Food & Drink
540,29494272,1.99,1037,4.5,1,Photo & Video
541,124710912,2.99,4755,4,2,Games
542,46872576,0,825,3.5,1,Business
543,66864128,0,28260,4.5,1,Social Networking
544,154910720,0,306,3.5,3,Finance
545,97562624,0,32527,4.5,1,Games
546,70325248,0,103655,5,1,Shopping
547,98820096,6.99,15981,4.5,1,Productivity
548,147001344,0,15593,4.5,1,Shopping
549,152671232,2.99,206,4,4,Reference
550,235160576,0,786,3.5,4,Entertainment
551,26029056,1.99,1207,4.5,1,Education
552,275481600,2.99,6879,4.5,2,Games
553,145140736,0,5683,4,3,Entertainment
554,3174400,0.99,0,0,1,Social Networking
555,1269152768,4.99,5059,4,1,Games
556,189514752,4.99,10158,4.5,1,Health & Fitness
557,131723264,0,291,4,4,Travel
558,8069120,1.99,31,3,1,Weather
559,129167360,0,35981,4,3,Shopping
560,53805056,0.99,14493,4.5,3,Games
561,39790592,2.99,853,4,4,Entertainment
562,68668416,0,990,3,3,Entertainment
563,88601600,0,676,3,3,Entertainment
564,91588608,0,128739,4.5,1,Games
565,71177216,2.99,1556,4.5,1,Utilities
566,191455232,4.99,12331,4.5,1,Games
567,35518464,3.99,22,4.5,1,Education
568,29303808,0.99,6527,4,3,Games
569,42482779,0.99,13049,4.5,3,Games
570,92997632,0,3692,3.5,3,News
571,88879104,2.99,41446,4.5,1,Games
572,23296000,0,8221,4.5,1,Shopping
573,50085888,0.99,36190,4.5,1,Games
574,83214336,0.99,14491,4.5,1,Games
575,84945920,0,99244,4.5,1,Utilities
576,3833856,0,0,0,4,Social Networking
577,710486016,0,75714,4,1,Games
578,22577152,0.99,35161,4.5,2,Games
579,48590848,0,11875,4.5,1,Health & Fitness
580,160764928,0,122,2.5,4,Finance
581,85515264,0,1083,2,4,Lifestyle
582,1319796736,2.99,1575,3.5,3,Games
583,165394432,1.99,24,3.5,1,Games
584,56609792,0,53,4,1,Weather
585,195406848,2.99,739,3.5,1,Games
586,136184832,0,100477,4,1,Lifestyle
587,114878464,0,718,4,3,News
588,155593728,0,16849,4.5,1,Reference
589,251711488,0,192,1.5,1,Finance
590,51665920,4.99,7,5,3,Education
591,34992128,3.99,1114,4.5,1,Games
592,34405376,6.99,1218,4,1,Music
593,59663360,0.99,9948,4.5,1,Games
594,7497728,0.99,528,4,1,Utilities
595,119131136,4.99,4675,4.5,1,Games
596,243776512,0,22302,4,1,Travel
597,34397184,5.99,3849,4,1,Productivity
598,83928064,0,233,4,3,News
599,9784320,0,1798,4.5,1,Travel
600,43338752,7.99,916,4.5,1,Business
601,95949824,0.99,2956,4.5,4,Utilities
602,410202112,4.99,21648,4,1,Games
603,30382080,2.99,5163,4.5,1,Reference
604,17178624,0.99,49,4.5,1,Entertainment
605,70262784,0,6081,4.5,1,Weather
606,11911065,0.99,4401,5,2,Games
607,157370368,2.99,2231,4.5,4,Social Networking
608,163801088,0,327025,4.5,1,Games
609,475697678,4.99,10463,4,2,Games
610,9458688,1.99,28672,4.5,1,Games
611,67922944,3.99,4716,4.5,3,Health & Fitness
612,118435840,1.99,6278,3.5,2,Games
613,43611136,0,0,0,1,Shopping
614,23447492,2.99,8304,4.5,1,Games
615,101873664,0,15984,3,2,Entertainment
616,93429760,1.99,5079,4.5,1,Education
617,132141056,0,2416,4.5,1,Music
618,38540288,0,36,4,4,Social Networking
619,979909632,4.99,8165,3.5,1,Games
620,90725376,0,7446,4,3,Entertainment
621,122429440,0.99,26419,4,2,Games
622,12783616,0.99,208,4,4,Entertainment
623,63474688,3.99,7565,3.5,4,Utilities
624,22227968,1.99,3040,4.5,1,Photo & Video
625,145240064,0,145549,4.5,4,Travel
626,10426368,4.99,835,4.5,4,Food & Drink
627,4278742,1.99,4262,4.5,1,Finance
628,21371904,1.99,219,4,1,Utilities
629,273259520,0,56110,4.5,1,Finance
630,79332352,0,32341,4.5,3,Travel
631,655987075,4.99,1419,4,3,Games
632,188030976,2.99,3303,4.5,1,Education
633,123563008,0,2058,4,4,Entertainment
634,192136192,7.99,990,4,2,Games
635,39835648,2.99,1986,4,4,Entertainment
636,8773632,1.99,8981,4.5,2,Games
637,183409664,4.99,554,4.5,1,Games
638,92966912,0,8176,5,3,News
639,104406016,4.99,53,2,1,Food & Drink
640,10469376,0.99,6,1,1,Photo & Video
641,23792640,0,8,3,1,Finance
642,60144640,0,467,4,1,Health & Fitness
643,154600448,0,2394,4,4,Entertainment
644,33914880,0.99,287,4.5,3,Health & Fitness
645,123070464,0,28189,4.5,1,Photo & Video
646,13852672,2.99,868,4.5,3,Navigation
647,60013568,0.99,4094,4.5,1,Games
648,82395136,2.99,3152,4.5,1,Entertainment
649,57810944,2.99,2950,4.5,1,Health & Fitness
650,14232576,3.99,3245,4,1,Weather
